NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;TP_SITUACAO_FUNCIONAMENTO;Qtd_Prof;Qtd_Matri_Inf;Qtd_Matri_Fund;Qtd_Matri_Med;Qtd_Matri_Prof;Qtd_Matri_Eja;Qtd_Matri_Esp;Latitude;Longitude;Precisao_Tipo
2024;Rio Grande;4315602;ASSOC PAIS AMIGOS EXCEP APAE RIO GRANDE;43179878;4;4;1;RUA DUQUE DE CAXIAS;327;;CENTRO;96200020;1;15;0;267;0;0;246;342;-32,03494140000001;-52,0970264;ROOFTOP
2024;Rio Grande;4315602;CENTRO DE FORMACAO ESCOLA VIVA;43099025;3;0;1;AVENIDA PORTUGAL;38;;CIDADE NOVA;96211040;1;11;0;0;0;0;0;0;-32,032935;-52,10871299999999;GEOMETRIC_CENTER
2024;Rio Grande;4315602;CENTRO DE FORMACAO PROFISSIONAL SENAI JOAO SIMPLICIO;43213871;4;1;1;PORTUGAL;184;;CIDADE NOVA;96211040;1;10;0;0;0;363;0;0;-32,0357615;-52,1142883;APPROXIMATE
2024;Rio Grande;4315602;COL ESTADUAL LEMOS JUNIOR;43112811;2;0;1;R BENJAMIN CONSTANT 373;373;;CENTRO;96200090;1;30;0;0;1158;262;0;36;-32,0364988;-52,0940786;ROOFTOP
2024;Rio Grande;4315602;COLEGIO ALTERNATIVO;43183344;4;1;1;RUA VICE-ALMIRANTE ABREU;225;;CENTRO;96200270;1;13;30;615;138;0;0;40;-32,0389573;-52,094507;ROOFTOP
2024;Rio Grande;4315602;COLEGIO BOM JESUS JOANA D ARC;43112790;4;1;1;DUQUE DE CAXIAS;291;;CENTRO;96200020;1;25;182;1197;297;0;0;38;-32,0342607;-52,0967845;ROOFTOP
2024;Rio Grande;4315602;COLEGIO HEBE MARSIGLIA;43113338;4;1;1;RUA DUQUE DE CAXIAS;578;;CENTRO;96200020;1;8;56;498;63;0;0;8;-32,0396256;-52,0984531;ROOFTOP
2024;Rio Grande;4315602;COLEGIO MARISTA SAO FRANCISCO - ED INF ENS FUND E MEDIO;43112803;4;4;1;RUA DOUTOR NASCIMENTO;577;;CENTRO;96200300;1;41;172;2016;582;0;0;54;-32,0357093;-52,1015275;ROOFTOP
2024;Rio Grande;4315602;COLEGIO SALESIANO LEAO XIII;43113680;4;1;1;RUA MARECHAL DEODORO;628;;CIDADE NOVA;96211480;1;21;216;1197;294;0;0;40;-32,0405394;-52,105588;GEOMETRIC_CENTER
2024;Rio Grande;4315602;COLEGIO SAO PEDRO;43162800;4;1;1;RUA BARAO DO COTEGIPE;415;;CENTRO;96200290;1;12;0;27;330;0;0;12;-32,0373846;-52,0981636;ROOFTOP
2024;Rio Grande;4315602;CRECHE E CASA DA CRIANCA MANSAO DA PAZ;43183310;4;4;1;RUA ALMIRANTE BARROSO;365;;GETULIO VARGAS;96201001;1;23;250;0;0;0;0;6;-32,0381482;-52,0871552;ROOFTOP
2024;Rio Grande;4315602;E M E F PROF MARIA ANGELICA VILLANOVA LEAL CAMPELLO;43113702;3;0;2;BR 471;;KM 63;TAIM;96221000;1;8;64;522;0;0;0;80;-32,4150475;-52,5616857;GEOMETRIC_CENTER
2024;Rio Grande;4315602;EEI ABRACADABRA;43077072;4;1;1;RUA QUINZE DE NOVEMBRO;423;;MIGUEL DE CASTRO MOREIRA;96211590;1;0;42;0;0;0;0;0;-32,0414324;-52,1167555;ROOFTOP
2024;Rio Grande;4315602;EEI ALGODAO DOCE;43077056;4;1;1;CONSELHEIRO TEIXEIRA JR;414;;CIDADE NOVA;96211080;1;3;56;0;0;0;0;4;-32,039461;-52,11265179999999;ROOFTOP
2024;Rio Grande;4315602;EEI CARINHA DE ANJO;43076262;4;1;1;RUA ANDRADE NEVES;322;;CENTRO;96200140;1;4;80;0;0;0;0;10;-32,0357901;-52,092412;ROOFTOP
2024;Rio Grande;4315602;EEI CLUBINHO BABY;43097855;4;1;1;RUA DOUTOR NASCIMENTO;780;;CENTRO;96200300;1;1;92;0;0;0;0;4;-32,0358489;-52,1056152;ROOFTOP
2024;Rio Grande;4315602;EEI FAZENDO ARTE;43076009;4;1;1;RUA DOUTOR MIGUEL RIET CORREA;16;;LEONIDAS;96203310;1;8;96;0;0;0;0;12;-32,071808;-52,1528368;ROOFTOP
2024;Rio Grande;4315602;EEI MICHIGAN KIDS;43077021;4;1;1;RUA DUQUE DE CAXIAS;496;;CENTRO;96200020;1;4;190;0;0;0;0;6;-32,0380023;-52,0980693;ROOFTOP
2024;Rio Grande;4315602;EEI OFICINA DO SABER;43075495;4;1;1;RUA GOMES FREIRE;746;D;CENTRO;96211280;1;0;72;0;0;0;0;4;-32,0333243;-52,1059364;ROOFTOP
2024;Rio Grande;4315602;EEI RECANTO INFANTIL;43089895;4;1;1;RUA ANDRADAS;215;;CENTRO;96200030;1;2;52;0;0;0;0;0;-32,0336095;-52,0953782;ROOFTOP
2024;Rio Grande;4315602;EEI SAPECAS EM ACAO;43075509;4;1;1;RUA ACRE;284;;FREDERICO ERNESTO BUCHHOLZ;96212120;1;10;160;0;0;0;0;0;-32,0453251;-52,1330591;ROOFTOP
2024;Rio Grande;4315602;EEI SO BABY;43074812;4;1;1;RUA REPUBLICA;258;;CIDADE NOVA;96211570;1;7;66;0;0;0;0;0;-32,0383756;-52,11755590000001;ROOFTOP
2024;Rio Grande;4315602;EEI TERRA MATER;43076130;4;1;1;AVENIDA MAJOR CARLOS PINTO;230;;CENTRO;96211020;1;0;96;0;0;0;0;0;-32,0333318;-52,1076682;ROOFTOP
2024;Rio Grande;4315602;EEI TIA GLECI;43098983;4;1;1;RUA DUQUE DE CAXIAS;576;;CENTRO;96200020;1;7;120;0;0;0;0;4;-32,0394852;-52,0984007;ROOFTOP
2024;Rio Grande;4315602;EEI TIA RITA;43076181;4;1;1;RUA TOBIAS BARRETO;364;;COHAB II;96211420;1;0;58;0;0;0;0;2;-32,0448875;-52,1277574;ROOFTOP
2024;Rio Grande;4315602;EMEEF RENASCER;43113753;3;0;2;RUA FREDERICO ALBUQUERQUE;2531;COMUNIDADE DA COREIA;ILHA DOS MARINHEIROS;96223000;1;0;18;84;0;0;0;16;-31,9888278;-52,1087481;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEF ADMAR CORREA;43113877;3;0;1;RUA GENERAL FLORES DA CUNHA;116;;VILA SANTA TEREZA;96201390;1;21;128;516;0;0;0;92;-32,0479132;-52,0818819;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEF ANTONIO CARLOS LOPES;43112889;3;0;2;AVENIDA A;100;;QUINTA;96222440;1;11;52;411;0;0;0;104;-32,0514449;-52,2786399;ROOFTOP
2024;Rio Grande;4315602;EMEF DOLORES GARCIA;43113710;3;0;1;RUA DARCY CUNHA MATTOS;387;;CASSINO-PARQUE GUANABARA;96209190;1;13;56;783;0;0;156;162;-32,1901139;-52,180519;ROOFTOP
2024;Rio Grande;4315602;EMEF DR ALTAMIR DE LACERDA NASCIMENTO;43112994;3;0;1;RUA DOUTOR RAUL PILLA;2099;;VILA BERNARDETH;96203550;1;12;102;1143;0;0;0;198;-32,065475;-52,1434702;ROOFTOP
2024;Rio Grande;4315602;EMEF EM TEMPO INTEGRAL PROFESSOR VALDIR CASTRO;43005390;3;0;1;ESTRADA ROBERTO SOCOOWSKI;2201;;SANTA ROSA;96213564;1;16;0;633;0;0;0;90;-32,077355;-52,19185299999999;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEF FREDERICO ERNESTO BUCHHOLZ;43113052;3;0;1;RUA ESTADOS UNIDOS DA AMERICA DO NORTE;;;FREDERICO ERNESTO BUCHHOLZ;96212014;1;27;256;1413;0;0;0;220;-32,0539284;-52,1314585;GEOMETRIC_CENTER
2024;Rio Grande;4315602;EMEF HELENA SMALL;43113060;3;0;1;RUA BARAO DO COTEGIPE;155;;CENTRO;96200290;1;20;134;2226;0;0;0;140;-32,0383957;-52,0934473;ROOFTOP
2024;Rio Grande;4315602;EMEF MATE AMARGO;43113150;3;0;1;AVENIDA ITALIA;1506;;CARREIROS;96203160;1;21;110;1263;0;0;300;294;-32,0723582;-52,1522173;ROOFTOP
2024;Rio Grande;4315602;EMEF OLAVO BILAC;43113176;3;0;2;TRAVESSA  29;46;;QUINTA;96222380;1;18;44;696;0;0;0;150;-32,0718665;-52,2524615;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEF PROF ELIEZER DE CARVALHO RIOS;43066240;3;0;1;RUA ERECHIM;15;;CASSINO;96207280;1;8;0;477;0;0;0;30;-32,1754126;-52,1486228;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEF PROF ª AURORA FERREIRA CADAVAL;43113389;3;0;2;RUA PEDRO CECERE;1600;;CAPILHA;96221000;1;2;0;57;0;0;0;8;-32,4914788;-52,5808227;GEOMETRIC_CENTER
2024;Rio Grande;4315602;EMEF PROFESSOR MANOEL MARTINS MANO;43113796;3;0;1;RUA ENGENHEIRO JOAO KRAMER DE LIMA;90;PREDIO ESCOLAR;PARQUE RESIDENCIAL SAO PEDRO;96216230;1;24;212;1620;0;0;111;164;-32,1077616;-52,171143;ROOFTOP
2024;Rio Grande;4315602;EMEF PROFESSORA LUIZA SOPHIA SCHMIDT TAVARES;43113699;3;0;2;AREA RURAL;1;EST. RG 180;AREA RURAL DE POVO NOVO;96224899;1;5;46;180;0;0;0;32;-31,93787459999999;-52,3110888;APPROXIMATE
2024;Rio Grande;4315602;EMEF PROFESSORA MARIA DA GRACA REYES;43183140;3;0;2;AVENIDA ENFERMEIRO MARINO AFONSO GOMES;315;4ª SECCAO DA BARRA;ZONA PORTURIA;96204050;1;14;232;753;0;0;0;96;-32,0407893;-52,1016953;APPROXIMATE
2024;Rio Grande;4315602;EMEF PROFESSORA WANDA ROCHA MARTINS;43113818;3;0;1;RUA FERNANDO OSORIO FILHO;201;;CASSINO;96205090;1;19;0;1695;0;0;0;118;-32,1773712;-52,1597105;ROOFTOP
2024;Rio Grande;4315602;EMEF PROFESSORA ZENIR DE SOUZA BRAGA;43206069;3;0;1;RUA ANGELO TRINDADE;1888;JARDIM HUMAITA;VILA MARIA JOSE;96203160;1;17;52;834;0;0;0;102;-32,0918259;-52,1628874;ROOFTOP
2024;Rio Grande;4315602;EMEF SANT ANA;43113273;3;0;1;RUA COLOMBIA;586;;AMERICA;96212230;1;23;106;1464;0;0;0;326;-32,0547118;-52,13951609999999;ROOFTOP
2024;Rio Grande;4315602;EMEI ALCIDES BARCELOS;43189687;3;0;1;RUA MASCARENHAS DE MORAES;181;;GETULIO VARGAS;96201190;1;11;318;0;0;0;0;56;-32,0415518;-52,0819307;ROOFTOP
2024;Rio Grande;4315602;EMEI CASA DA CRIANCA DR AUGUSTO DUPRAT;43113281;3;0;1;RUA BENTO GONCALVES;179;;CIDADE NOVA;96211070;1;16;224;0;0;0;0;34;-32,0389417;-52,109401;ROOFTOP
2024;Rio Grande;4315602;EMEI FRATERNIDADE;43076378;3;0;1;AVENIDA DOM PEDRO II;225 A;;GETULIO VARGAS;96201010;1;14;590;0;0;0;0;122;-32,0357882;-52,0840672;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEI LYONS CLUBE RIO GRANDE -CASSINO;43183158;3;0;1;RUA JUAN LLOPART;670;;VILA SANTA ROSA;96214400;1;7;272;0;0;0;0;50;-32,0783468;-52,1920464;ROOFTOP
2024;Rio Grande;4315602;EMEI NILZA ALVES GONCALVES;43065406;3;0;1;RUA HONORATO CARVALHO;SN;;VILA RURAL;96212340;1;13;314;0;0;0;0;76;-32,0493012;-52,1412867;GEOMETRIC_CENTER
2024;Rio Grande;4315602;EMEI OSCAR FERREIRO DE CAMPOS MORAES;43197884;3;0;1;RUA ALTAMIR DE LACERDA NASCIMENTO;904;;HIDRAULICA;96211280;1;1;196;0;0;0;0;40;-32,0502104;-52,1243916;ROOFTOP
2024;Rio Grande;4315602;EMEI PROF VERENICE FERREIRA GONCALVES;43089844;3;0;1;RUA ANGELO TRINDADE;1866;;JARDIM HUMAITA;96203160;1;19;266;0;0;0;0;42;-32,0888582;-52,16143839999999;ROOFTOP
2024;Rio Grande;4315602;EMEI PROFESSORA DEBORAH THOME SAYAO;43079849;3;0;1;AVENIDA ENGENHEIRA LUCIA MARIA BALBELA CHIESA;7270;ERS 734;BOLAXA;96217150;1;24;366;0;0;0;0;90;-32,1638035;-52,1836436;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEI PROFESSORA MARIA DA GLORIA PINTO PEREIRA;43364187;3;0;1;RUA JUAN LLOPART;691;;VILA SANTA ROSA;96214400;1;15;334;0;0;0;0;52;-32,0808031;-52,1881089;RANGE_INTERPOLATED
2024;Rio Grande;4315602;EMEI PROFª DAISY MARIA GUMA PAGEL;43299113;3;0;1;RUA ONOFRIO AIKIM;588;;VILA NOSSA SENHORA DE FATIMA;96213440;1;15;400;0;0;0;0;46;-32,0690137;-52,180675;ROOFTOP
2024;Rio Grande;4315602;EMEI TIA LUIZINHA;43183190;3;0;1;RUA PANDIA CALOGERAS;898;;VILA SAO JOAO;96213022;1;11;326;0;0;0;0;78;-32,061718;-52,1667658;ROOFTOP
2024;Rio Grande;4315602;ESC ADVENT DE ENS FUND DE RIO GRANDE;43113826;4;1;1;RUA GENERAL VITORINO;742;A;CENTRO;96200310;1;15;84;1056;0;0;0;40;-32,0347392;-52,1047584;ROOFTOP
2024;Rio Grande;4315602;ESC EDUC ESP JOSE ALVARES DE AZEVEDO;43179860;4;4;1;RUA MAJOR MIGUEL PEREIRA;70;;PARQUE RESIDENCIAL SALGADO FILHO;96201520;1;9;0;18;0;0;135;102;-32,0407052;-52,0936635;ROOFTOP
2024;Rio Grande;4315602;ESC ENS MEDIO MASCARENHAS DE MORAES;43113648;2;0;1;R RUA DOMINGOS DE ALMEIDA 659;659;;CIDADE NOVA;96211580;1;14;0;0;1545;0;0;98;-32,0464085;-52,1149982;ROOFTOP
2024;Rio Grande;4315602;ESC ENSINO FUNDAMENTAL SAO LUIZ GONZAGA;43113354;4;2;1;AVENIDA CIDADE DE PELOTAS;355;;CIDADE NOVA;96211000;1;36;120;948;0;0;0;36;-32,0389481;-52,1143541;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN 13 DE MAIO;43113621;2;0;1;R RUA DOM BOSCO 901;901;;COHAB II;96211434;1;13;0;747;0;0;0;18;-32,0470772;-52,1256833;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN ADELAIDE ALVIM;43113419;2;0;1;R RUA PINTO BANDEIRA 267;267;;VILA JUNCAO;96212472;1;11;0;693;0;0;0;36;-32,0566647;-52,1461903;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN AGNELLA DO NASCIMENTO;43113427;2;0;1;R MARECHAL DEODORO 249 CASA;249;CASA;CIDADE NOVA;96211480;1;10;0;465;0;0;0;18;-32,0340302;-52,1083637;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN ALMIRANTE TAMANDARE;43113842;2;0;1;AV DOS ARQUIPELAGOS 111;111;;PARQUE MARINHA;96215000;1;11;0;840;0;0;0;26;-32,0932654;-52,1799389;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN BARAO DE CERRO LARGO;43113664;2;0;1;AV COMEN VASCO VIEIRA DA FONSECA 723;723;;CENTRO;96200420;1;29;0;762;24;0;0;76;-32,029124;-52,1056294;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN CEL JUVENCIO LEMOS;43113486;2;0;1;AV DOM PEDRO II SN;SN;;GETULIO VARGAS;96201010;1;14;0;975;0;0;0;70;-32,0360176;-52,082747;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN DR PEDRO FRANCISCO BERTONI;43113494;2;0;2;R AREA RURAL 211;211;;DOMINGOS PETROLINI;96220899;1;3;0;165;0;0;0;8;-31,9945041;-52,2996641;RANGE_INTERPOLATED
2024;Rio Grande;4315602;ESC EST ENS FUN ERNESTO PEDROSO;43113508;2;0;1;R BORGES DE MEDEIROS SN;SN;;SANTA TEREZA;96200450;1;5;0;234;0;0;0;20;-32,0467635;-52,0851259;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN GUARDA MARINHA GREENHALGH;43113516;2;0;1;R RUA CRISTOVAO JAQUES 369;369;;NOSSA SENHORA DOS NA;96202670;1;8;0;351;0;0;0;40;-32,042899;-52,097893;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN IMPERIAL MARINHEIRO MARCILIO DIAS;43113524;2;0;1;R GAL VITORINO 67;67;;CENTRO;96200310;1;9;0;279;0;0;0;6;-32,0370131;-52,0896828;ROOFTOP
2024;Rio Grande;4315602;ESC EST ENS FUN MARECHAL EMILIO LUIZ MALLET;43112846;2;0;1;R AMAZONAS ESQ PERU SN;SN;;RURAL;96212140;1;10;0;294;0;0;36;0;-32,0452426;-52,0927799;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN MARIO QUINTANA;43113532;2;0;1;R RUA JULIO FERREIRA DA SILVA SN;SN;;VILA MARIA JOSE/ TRE;96203670;1;2;0;72;0;0;0;0;-32,0878052;-52,1617198;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS FUN NOSSA SENHORA MEDIANEIRA;43113567;2;0;1;R RUA DOMINGOS DE ALMEIDA 655;655;;CIDADE NOVA;96211580;1;12;0;924;0;0;0;42;-32,04518770000001;-52,1158114;RANGE_INTERPOLATED
2024;Rio Grande;4315602;ESC EST ENS FUN SALDANHA DA GAMA;43113451;2;0;1;AV AVENIDA PRINCIPAL SN 4 S BARRA;SN;4 S BARRA;ZONA PORTUARIA;96204050;1;17;0;810;0;0;84;58;-32,1413628;-52,1064204;GEOMETRIC_CENTER
2024;Rio Grande;4315602;ESC EST ENS MED ALFREDO FERREIRA RODRIGUES;43113443;2;0;1;AV MAJOR ASSUNCAO 150;150;;POVO NOVO;96224080;1;17;0;798;423;0;0;168;-31,93787459999999;-52,3110888;APPROXIMATE
2024;Rio Grande;4315602;ESC EST ENS MED BIBIANO DE ALMEIDA;43113460;2;0;1;R GENERAL CANABARRO 321;321;;CENTRO;96200200;1;26;0;1245;1548;0;342;88;-32,0339777;-52,10225029999999;ROOFTOP
